texto,sentimiento,score,insight
"Siempre fui de los que quiso leer muchos libros para aprender e ir un paso adelante, un día vi un video y dejé de correr me detenía por capitulo, a veces por paginas o ideas a reflexionar y eso cambió mi vida. Ahora reflexionar y escribirlo es otra cosa. Ahí entendí el verdadero significado de ""leer por leer no sirve"".",neutro,0.583,Aprendizaje
"Antes creía que tenía que seguir todo lo que decías para tener éxito: aprender a programar, nunca parar de estudiar, cambiar de carrera si no era “tech”. Estudié una carrera exigente (Ingeniería Geológica) y cuando terminé, ya estaba agotado. Pero aún así sentía que no era suficiente, que tenía que empezar otra vez desde cero, porque eso decía el mensaje.

Me tomó tiempo entender que no era que me faltaran habilidades, sino que me había llenado de exigencias externas. Y tu discurso —aunque sé que tiene buena intención— me hizo sentir que si no seguía ese camino, estaba condenado a quedarme atrás.

Hoy estoy sanando. Volví a mi tierra, conecté conmigo, aprendí a decir “no” a lo que no es para mí. Y me di cuenta de algo importante:

No necesitas estar en tech para ser valioso.

Esto va para todas las personas que están cansadas, que sienten que no pueden más, que dudan de sí mismas solo porque no encajan en ese modelo de éxito. También se pueden hacer cosas grandes desde la tranquilidad y el entorno donde estás, con lo que ya eres y sabes.

A veces, parar también es aprender.

Y como tú mismo dices:
“Ten criterio”…
Pero ten criterio para tu vida, no solo para comprar cursos.
La vida no siempre está en el código, a veces está en el silencio, en la tierra, en decir “esto es suficiente”.",negativo,-0.62,Razonamiento
Felicidades al editor por su edición en lo televentas jaja me hizo reir,positivo,0.944,sin categoría
Le voy a pedir a chatgpt que me haga un resumen del video con los 5 puntos más importantes.,neutro,0.819,sin categoría
"no hay nada mejor que preguntarle algo a GPT y ver como se van las horas preguntandole y haciendo suposiciones, deducciones o conjeturas y al final terminar conociendo un tema distinto al que empezaste y sentir que se aprendió algo nuevo cada día. La interiorización no creo que se de solo con libros, finalmente yo leí libros que no me motivaban o no me enseñaban mucho, realmente lo que genera interiorización es la embriaguez por el conocimiento, deleitarse aprendiendo y eso se da justamente cuando podemos contextualizar lo que queremos aprender y encontrar respuestas muy precisas cuando queremos saber algo, incluso esto te motivará a una posterior lectura de un libro.",positivo,0.667,Aprendizaje
"Antes de Chatgpt hacía temas y discursos de oratoria, para todas las edades, me tomaba alrededor de una hora hacerlo, luego llega chatgpt y me parecía genial ya que me ahorraba esa ahora para otras cosas, pero, luego cuando quise crear temas por mi propia cuenta me costaba hacerlas, no me concentraba igual, demoraba más y estaba más propenso a la frustración. Creo que debe haber un equilibrio en su uso.",neutro,0.735,Atención
"9:32 También podrías leerte diez páginas del libro y luego de tu propia interpretación podrías hablar con la i.a sobre esas 10 páginas de esa manera se extendería tu comprensión y ademas te dan mas ganas de terminar el libro, esa es mi manera de pensar.",positivo,0.613,sin categoría
"Soy consultor en branding y mkt, asesoro a dueños de negocios y empresas en su posicionamiento. Por lo que la mayor parte de mi tiempo es entablar conversaciones con ellos para decidir estrategias. Justamente hace unas semanas platicaba con un amigo que percibía en mis clientes una disminución en su capacidad de análisis, de evaluación y decisión. Personas que solían involucrarse al 100% los noto menos incisivos, alertas, decididos. Muchos de ellos realizaban documentos estratégicos, informes, evaluaciones, planes de estudio para certificaciones, etc. Y ahora al tenerlos con prompt se nota de inmediato una especie de flojera en el trabajo a la antigua. Yo uso IA, siempre he sido early adopter en las tecnologías, pero al ser gen x/ millenial (xennial) tengo afecto por lo analógico. Sigo leyendo un libro a la quincena, pinto, dibujo y hago escultura. Y aunque mi trabajo incluye redes sociales mi empresa tiene pero yo no, y los domingos no uso celular (no es que entre semana lo use demasiado). Como comenta Fredy uso la IA para pulir lo que tengo, no para que lo haga completo por mi.",neutro,0.789,Atención
Me está pasando que olvido lo que estoy diciendo mientras lo estoy diciendo.,negativo,-0.821,Memoria
Yo uso AI como docente virtual de Álgebra y es increíble se le puede preguntar varias veces sin estresar como pasa con el profesor real,positivo,0.597,sin categoría
