,INSTNM,CITY,STABBR,HIGHDEG,REGION,SATVR25,SATVR75,SATMT25,SATMT75,SAT_AVG_ALL
0,Alabama A & M University,Normal,AL,4,5,430.0,520.0,410.0,510.0,954.0
1,University of Alabama at Birmingham,Birmingham,AL,4,5,593.0,680.0,580.0,708.0,1266.0
3,University of Alabama in Huntsville,Huntsville,AL,4,5,580.0,700.0,590.0,720.0,1300.0
4,Alabama State University,Montgomery,AL,4,5,442.0,534.0,397.0,516.0,955.0
5,The University of Alabama,Tuscaloosa,AL,4,5,540.0,680.0,530.0,690.0,1244.0
8,Auburn University at Montgomery,Montgomery,AL,4,5,480.0,595.0,470.0,565.0,1069.0
10,Birmingham-Southern College,Birmingham,AL,3,5,550.0,610.0,540.0,630.0,1214.0
15,Faulkner University,Montgomery,AL,4,5,500.0,600.0,490.0,605.0,1042.0
22,Huntingdon College,Montgomery,AL,3,5,510.0,560.0,470.0,510.0,1111.0
26,Jacksonville State University,Jacksonville,AL,4,5,490.0,580.0,520.0,660.0,1030.0
30,University of West Alabama,Livingston,AL,4,5,430.0,470.0,450.0,510.0,1017.0
32,Marion Military Institute,Marion,AL,2,5,560.0,650.0,540.0,650.0,1146.0
35,University of Montevallo,Montevallo,AL,4,5,500.0,590.0,470.0,610.0,1131.0
42,Samford University,Birmingham,AL,4,5,570.0,660.0,530.0,630.0,1236.0
45,University of South Alabama,Mobile,AL,4,5,500.0,610.0,485.0,605.0,1132.0
46,Spring Hill College,Mobile,AL,4,5,490.0,530.0,480.0,530.0,1019.0
50,Troy University,Troy,AL,4,5,485.0,580.0,450.0,570.0,1082.0
51,Tuskegee University,Tuskegee,AL,4,5,470.0,580.0,450.0,550.0,1080.0
56,University of Alaska Fairbanks,Fairbanks,AK,4,8,560.0,680.0,550.0,680.0,1169.0
71,University of Arizona,Tucson,AZ,4,6,560.0,680.0,560.0,690.0,1230.0
78,Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,4,6,570.0,660.0,570.0,690.0,1240.0
100,Arizona Christian University,Glendale,AZ,3,6,480.0,590.0,480.0,580.0,1043.0
103,University of Arkansas at Little Rock,Little Rock,AR,4,5,520.0,590.0,500.0,590.0,1119.0
108,Lyon College,Batesville,AR,3,5,520.0,590.0,530.0,605.0,1163.0
111,University of Arkansas,Fayetteville,AR,4,5,530.0,620.0,520.0,600.0,1188.0
112,University of Arkansas at Pine Bluff,Pine Bluff,AR,4,5,420.0,508.0,390.0,508.0,902.0
114,Arkansas State University,Jonesboro,AR,4,5,510.0,590.0,520.0,610.0,1149.0
120,University of Central Arkansas,Conway,AR,4,5,500.0,600.0,480.0,560.0,1133.0
121,Central Baptist College,Conway,AR,3,5,450.0,588.0,453.0,548.0,1059.0
129,Harding University,Searcy,AR,4,5,530.0,660.0,520.0,640.0,1183.0
130,Henderson State University,Arkadelphia,AR,4,5,470.0,583.0,508.0,568.0,1084.0
131,Hendrix College,Conway,AR,4,5,560.0,680.0,530.0,660.0,1286.0
134,John Brown University,Siloam Springs,AR,4,5,560.0,655.0,540.0,665.0,1231.0
145,University of the Ozarks,Clarksville,AR,3,5,490.0,550.0,460.0,580.0,1061.0
157,Williams Baptist University,Walnut Ridge,AR,4,5,400.0,590.0,435.0,520.0,1100.0
159,Southern Arkansas University Main Campus,Magnolia,AR,4,5,460.0,570.0,470.0,570.0,1094.0
178,Azusa Pacific University,Azusa,CA,4,8,493.0,628.0,473.0,638.0,1117.0
183,Biola University,La Mirada,CA,4,8,563.0,688.0,540.0,660.0,1228.0
193,California Lutheran University,Thousand Oaks,CA,4,8,550.0,640.0,540.0,650.0,1200.0
240,Chapman University,Orange,CA,4,8,610.0,700.0,600.0,710.0,1318.0
242,Concordia University-Irvine,Irvine,CA,4,8,520.0,640.0,510.0,620.0,1174.0
249,Claremont McKenna College,Claremont,CA,4,8,700.0,750.0,720.0,780.0,1487.0
271,Dominican University of California,San Rafael,CA,4,8,528.0,630.0,535.0,645.0,1160.0
288,Fresno Pacific University,Fresno,CA,4,8,480.0,620.0,490.0,620.0,1100.0
301,Harvey Mudd College,Claremont,CA,3,8,710.0,760.0,770.0,800.0,1533.0
316,University of La Verne,La Verne,CA,4,8,455.0,580.0,450.0,555.0,1028.0
326,La Sierra University,Riverside,CA,4,8,460.0,570.0,420.0,570.0,1023.0
340,Loyola Marymount University,Los Angeles,CA,4,8,620.0,700.0,630.0,720.0,1354.0
352,Northeastern University Oakland,Oakland,CA,4,8,728.0,743.0,650.0,670.0,1395.0
376,Occidental College,Los Angeles,CA,3,8,670.0,740.0,670.0,750.0,1422.0
379,Otis College of Art and Design,Los Angeles,CA,4,8,590.0,720.0,540.0,640.0,1237.0
381,Hope International University,Fullerton,CA,4,8,510.0,530.0,490.0,650.0,1090.0
388,University of the Pacific,Stockton,CA,4,8,560.0,680.0,560.0,700.0,1265.0
392,Pepperdine University,Malibu,CA,4,8,630.0,710.0,630.0,730.0,1342.0
395,Point Loma Nazarene University,San Diego,CA,4,8,600.0,680.0,570.0,670.0,1256.0
396,Pomona College,Claremont,CA,3,8,730.0,770.0,740.0,800.0,1520.0
402,University of Redlands,Redlands,CA,4,8,580.0,650.0,530.0,630.0,1231.0
420,University of San Francisco,San Francisco,CA,4,8,600.0,690.0,590.0,700.0,1305.0
431,Santa Clara University,Santa Clara,CA,4,8,650.0,720.0,680.0,770.0,1418.0
435,Scripps College,Claremont,CA,4,8,700.0,760.0,680.0,760.0,1456.0
452,Vanguard University of Southern California,Costa Mesa,CA,4,8,500.0,610.0,480.0,590.0,1098.0
457,Southern California Institute of Architecture,Los Angeles,CA,4,8,590.0,660.0,590.0,750.0,1295.0
458,University of Southern California,Los Angeles,CA,4,8,690.0,750.0,720.0,790.0,1484.0
462,Thomas Aquinas College,Santa Paula,CA,3,8,610.0,720.0,570.0,650.0,1284.0
479,Westmont College,Santa Barbara,CA,3,8,595.0,720.0,565.0,740.0,1318.0
480,Whittier College,Whittier,CA,4,8,590.0,680.0,530.0,660.0,1232.0
487,Adams State University,Alamosa,CO,4,7,460.0,570.0,460.0,570.0,1040.0
491,University of Colorado Denver/Anschutz Medical Campus,Denver,CO,4,7,520.0,630.0,510.0,620.0,1156.0
494,University of Colorado Boulder,Boulder,CO,4,7,590.0,690.0,580.0,700.0,1292.0
500,Colorado School of Mines,Golden,CO,4,7,650.0,720.0,660.0,750.0,1399.0
502,Colorado State University-Fort Collins,Fort Collins,CO,4,7,550.0,650.0,530.0,640.0,1205.0
509,University of Denver,Denver,CO,4,7,610.0,700.0,590.0,690.0,1324.0
511,Fort Lewis College,Durango,CO,4,7,490.0,620.0,480.0,580.0,1057.0
516,Colorado Mesa University,Grand Junction,CO,4,7,480.0,610.0,468.0,590.0,1088.0
517,Metropolitan State University of Denver,Denver,CO,4,7,460.0,580.0,450.0,560.0,1037.0
522,University of Northern Colorado,Greeley,CO,4,7,490.0,620.0,480.0,590.0,1104.0
527,Regis University,Denver,CO,4,7,520.0,640.0,510.0,630.0,1174.0
530,Colorado State University Pueblo,Pueblo,CO,4,7,470.0,570.0,470.0,560.0,1046.0
535,United States Air Force Academy,USAF Academy,CO,3,0,590.0,730.0,618.0,760.0,1382.0
537,Western Colorado University,Gunnison,CO,4,7,530.0,630.0,510.0,600.0,1143.0
541,University of Bridgeport,Bridgeport,CT,4,1,470.0,570.0,480.0,560.0,1040.0
542,Central Connecticut State University,New Britain,CT,4,1,490.0,600.0,460.0,580.0,1067.0
545,Connecticut College,New London,CT,3,1,680.0,748.0,653.0,728.0,1416.0
547,University of Connecticut,Storrs,CT,4,1,610.0,700.0,620.0,730.0,1277.0
551,Fairfield University,Fairfield,CT,4,1,620.0,690.0,610.0,690.0,1315.0
557,University of Hartford,West Hartford,CT,4,1,540.0,650.0,540.0,620.0,1185.0
567,University of New Haven,West Haven,CT,4,1,560.0,650.0,540.0,630.0,1200.0
576,University of Saint Joseph,West Hartford,CT,4,1,523.0,548.0,513.0,633.0,1109.0
580,Trinity College,Hartford,CT,4,1,673.0,730.0,660.0,750.0,1409.0
582,United States Coast Guard Academy,New London,CT,3,0,600.0,690.0,600.0,700.0,1292.0
583,Wesleyan University,Middletown,CT,4,1,650.0,750.0,650.0,760.0,1426.0
585,Yale University,New Haven,CT,4,1,730.0,780.0,750.0,800.0,1526.0
590,University of Delaware,Newark,DE,4,2,585.0,670.0,570.0,670.0,1260.0
594,American University,Washington,DC,4,2,660.0,730.0,620.0,710.0,1381.0
598,Gallaudet University,Washington,DC,4,2,380.0,588.0,385.0,570.0,941.0
599,George Washington University,Washington,DC,4,2,660.0,740.0,650.0,750.0,1419.0
