What is your university name ?,What is your current level of education?,How often do you use AI tools like ChatGPT  for academic purposes?,How do you think ChatGPT has influenced teaching methods in your courses?,Has ChatGPT influenced your approach to solving complex academic problems or  assignments  ?,Do you use ChatGPT for group study or collaborative learning ?,Do you feel that AI assists you in self-paced learning ?,Does ChatGPT help improve critical thinking and problem-solving?,Has ChatGPT provided useful guidance on your career path or educational choices ?,How worried are you about the privacy and safety of your personal data when using AI tools like ChatGPT for academic tasks?,Do you think relying too much on AI tools like ChatGPT could harm students creativity and critical thinking skills?,Do you believe using AI tools like ChatGPT reduces your creativity and critical thinking?,Do you believe AI tools (like ChatGPT) improve your learning experience?
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Neither agree nor disagree,No,Yes
Daffodil International University,Undergraduate,Monthly,It has improved teaching methods significantly,Yes,Sometimes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Maybe
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Agree,Occasionally,Yes
Daffodil International University,Undergraduate,Monthly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,No
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Occasionally,Yes
Daffodil International University,Undergraduate,Monthly,It has slightly improved teaching methods,Yes,Sometimes,Uncertain,Uncertain,No,Not worried,Neither agree nor disagree,Occasionally,Maybe
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometimes,Yes,Yes,Yes,Worried,Agree,Occasionally,Maybe
Iubat - International University Of Business Agriculture And Technology,Undergraduate,Monthly,It has slightly improved teaching methods,No,Sometimes,Yes,No,No,Somewhat worried,Neither agree nor disagree,Yes,Maybe
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Daffodil International University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,No,No,Uncertain,Somewhat worried,Strongly agree,Yes,Maybe
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Worried,Strongly agree,Yes,Yes
Daffodil International University,Undergraduate,Daily,I am not sure how it affects teaching methods,Yes,Yes,Yes,Yes,Uncertain,Somewhat worried,Agree,Occasionally,Maybe
Daffodil International University,Undergraduate,Weekly,I am not sure how it affects teaching methods,Uncertain,Sometimes,Uncertain,Uncertain,Yes,Somewhat worried,Agree,Yes,No
Daffodil International University,Undergraduate,Weekly,I am not sure how it affects teaching methods,Yes,Yes,Yes,Yes,Uncertain,Not worried,Agree,Occasionally,Yes
Daffodil International University,Undergraduate,Monthly,It has slightly improved teaching methods,Uncertain,Sometimes,Uncertain,Uncertain,Yes,Somewhat worried,Disagree,Occasionally,No
Daffodil International University,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Neither agree nor disagree,Yes,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,No,Yes,Yes,Yes,Yes,Somewhat worried,Disagree,Yes,Yes
Daffodil International University,Undergraduate,Weekly,It has had no impact on teaching methods,Yes,Yes,Yes,Uncertain,Yes,Somewhat worried,Strongly agree,Yes,Yes
Daffodil International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Strongly agree,Yes,Yes
Daffodil International University,Postgraduate,Daily,It has slightly improved teaching methods,Yes,Sometimes,Yes,Yes,Uncertain,Worried,Neither agree nor disagree,Yes,Yes
Daffodil International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Uncertain,Yes,Somewhat worried,Agree,Occasionally,Yes
Independent University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometimes,Yes,Yes,Yes,Not worried,Neither agree nor disagree,Yes,Yes
Daffodil International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Uncertain,Worried,Agree,Yes,Yes
Daffodil International University,Undergraduate,Weekly,It has slightly improved teaching methods,No,No,Uncertain,No,Uncertain,Somewhat worried,Strongly agree,Yes,Yes
